graph,n,trial,demand,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
Grid,50,15,Uniform,9.779782835413743,0.736398277522671,0.9951020408163265,0.06957202207595127,4.207521802299275,20,0.41581679389312964,69,1.5852449399289288
Grid,50,16,Fixed,11.653501229407325,1.6367621500856444,0.923265306122449,0.01886515405103,3.5740945061559173,3,0.5530227848101266,52,1.9016731788206245
Grid,50,16,Uniform,9.820135483756259,0.6742267951638475,0.9991836734693877,0.129515885661481,4.2252088469843825,21,0.3768368617683686,70,1.6024959275517006
Grid,50,17,Fixed,14.426345792345236,1.8395992394020182,0.8746938775510205,0.008225019567829499,3.6152324411251726,7,0.569816234185982,56,2.360404319391218
Grid,50,17,Uniform,9.062458958087191,0.7130377204714695,0.9987755102040816,0.09268041908073683,4.1740041549758695,17,0.3525668140742164,66,1.482777938147369
Grid,50,18,Fixed,15.005249870936046,1.2862927470307022,0.9453061224489797,0.03117255510600992,3.6274378862742824,7,0.6063963963963963,56,2.488341606531013
Grid,50,18,Uniform,9.846503894448311,0.6792159739097912,0.9987755102040816,0.13184835485620092,4.230291154855553,22,0.3630964052287582,71,1.632859534507502
Grid,50,19,Fixed,12.884331530375011,1.551540988753016,0.9338775510204081,0.022192523997610725,3.5912871942299502,4,0.6348857589984351,53,2.128896420815433
Grid,50,19,Uniform,10.000180358174376,0.707363277188001,0.9983673469387756,0.09929584498848919,4.23124036539705,22,0.3799462365591397,71,1.6523440212506373
Grid,50,20,Fixed,10.752370459382584,1.550385686635471,0.9097959183673469,0.01281472704832856,3.5951505647947544,2,0.617491984324902,51,1.7621146006033823
Grid,50,20,Uniform,9.508506172566932,0.7278060314112984,0.9975510204081632,0.08134041526544551,4.185872039827816,19,0.4205400406879969,68,1.5582682553489393
Grid,50,21,Fixed,10.206236865887458,1.5343024492319366,0.92,0.015668396409383886,3.6042512763503196,2,0.5723381250767907,51,1.661650708303948
Grid,50,21,Uniform,10.356321743250266,0.7052773301502172,0.9967346938775511,0.08430813316447301,4.2446933539457685,23,0.43568177158088983,72,1.686085634325424
Grid,50,22,Fixed,10.458600823001529,1.4500286845122645,0.9326530612244898,0.021167162883998225,3.612289438613543,2,0.6763939440281386,51,1.7257145391929887
Grid,50,22,Uniform,10.36017649358817,0.6783985189612403,0.9991836734693877,0.1519565584674634,4.235324209044019,23,0.3674878444084282,72,1.7094740975551934
Grid,50,23,Fixed,14.054484777234078,1.2839559582329685,0.9412244897959182,0.024018715113953464,3.627583755662993,7,0.6305430295331849,56,2.300837584327336
Grid,50,23,Uniform,10.495980443509174,0.6649620872677325,0.999591836734694,0.1523398424585727,4.279246732494135,25,0.378270893371758,74,1.7182804401274705
Grid,50,24,Fixed,13.26715891492095,1.660674999739736,0.9216326530612247,0.016110247575101478,3.61204445178181,5,0.6224754316069057,54,2.1664356427728064
Grid,50,24,Uniform,9.627414098902754,0.7770309562520094,0.9951020408163265,0.0829075452746047,4.160420225489518,18,0.425131386861314,67,1.5720903914205238
Grid,50,25,Fixed,12.700222028898253,1.3149428612717489,0.9424489795918367,0.03198979131142749,3.6251566229823293,6,0.5736086175942545,55,2.1102730676847585
Grid,50,25,Uniform,10.250038283247935,0.6701255739669641,0.999591836734694,0.14108974589156173,4.243441378615442,23,0.38009989594172744,72,1.7031497309777563
Grid,50,26,Fixed,14.97075720516344,1.3742645603896135,0.9248979591836733,0.020331125531642295,3.6292526844675184,7,0.6313975198550925,56,2.442658744264401
Grid,50,26,Uniform,9.641457269642656,0.6758489900530622,0.999591836734694,0.13080701064234576,4.230298462001683,21,0.3648791387365429,70,1.573119487838698
Grid,50,27,Fixed,13.015971342778238,1.4841569187131038,0.9293877551020409,0.016097627200990797,3.5394695359829313,4,0.61112605946455,53,2.1449974610323608
Grid,50,27,Uniform,9.60649772362446,0.6697607827387869,0.9979591836734695,0.10702186471190268,4.223174262097761,21,0.4027102991367195,70,1.5831252761647001
Grid,50,28,Fixed,14.143527651776246,1.5162049891891034,0.9248979591836735,0.016144685798219156,3.580771353239886,5,0.5954922279792747,54,2.2976424025703484
Grid,50,28,Uniform,9.936029474380922,0.70943680288309,0.9914285714285714,0.08341477814193506,4.193448842978265,20,0.43085135939670605,69,1.61412648920436
Grid,50,29,Fixed,12.073523614347133,1.3561881518596048,0.9342857142857143,0.018459191070915565,3.5709455306415636,4,0.6402911082288516,53,1.9521823514208934
Grid,50,29,Uniform,10.441661331923356,0.6747808742906307,1.0,0.14052793348646525,4.26269418016398,24,0.3857613516367475,73,1.68832460371984
Grid,100,0,Fixed,10.326347207494509,1.3916396556125015,0.911919191919192,0.003137608126359278,4.492431819973885,0,0.65450125,99,1.1544492502106247
Grid,100,0,Uniform,11.25999311947107,0.9463730845272895,0.9825252525252525,0.011248317377489808,4.742553174410099,17,0.4478522939541665,116,1.258827575032135
Grid,100,1,Fixed,10.480447229279344,1.3798609672971949,0.9221212121212122,0.004411317386615898,4.493278242935274,0,0.6417220637266698,99,1.162945065524457
Grid,100,1,Uniform,10.936369125078796,1.2320070194305155,0.9439393939393937,0.004115146932046324,4.717750185112717,14,0.5722177487566396,113,1.2135356660384569
Grid,100,2,Fixed,10.215288891084136,1.6616511674010337,0.904040404040404,0.0032442101714149456,4.506478067241226,0,0.6169844388005667,99,1.1223107162214572
Grid,100,2,Uniform,11.325619044605475,1.0023838510463454,0.9737373737373736,0.011040056766600453,4.744744606509117,17,0.46844227795911375,116,1.2442980083212858
Grid,100,3,Fixed,9.956831408352839,1.348598353419767,0.9214141414141414,0.004811649517292391,4.534434247281085,0,0.6281124715215287,99,1.0913057266781647
Grid,100,3,Uniform,10.908570776733168,0.9452382193140644,0.9690909090909091,0.010150650992263099,4.710440218121319,13,0.551925097364369,112,1.1956198985689523
