n,trial,demand,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
20,7,HubSpoke,4.978936710918974,0.6907695895462029,0.9605263157894737,0.19203996748808583,3.0635442093699945,5,0.4810344827586206,24,1.5984113959908914
20,8,Fixed,5.574400934652221,0.820877941549518,0.9052631578947367,0.09079728851643853,2.7009963512941266,3,0.6295841209829869,22,2.0107897837095527
20,8,Uniform,6.266168967913488,0.5154547419705015,1.0,0.46851990651925496,3.3546428176963063,14,0.4682336182336182,33,2.2603233408191095
20,8,HubSpoke,5.470931134960132,0.5284241602031959,0.9894736842105264,0.2600981176158552,3.238807439752813,10,0.5216332378223489,29,1.9734663083115085
20,9,Fixed,7.057248754240331,0.8846175096583657,0.9157894736842105,0.09582789774235134,2.7040612271744284,3,0.6441649899396376,22,2.138004092247523
20,9,Uniform,7.271030807558987,0.6216113971391699,1.0,0.3956779340970348,3.290351076125685,12,0.42465181058495816,31,2.2027696858607193
20,9,HubSpoke,5.449589799820455,0.7209701821751675,0.9657894736842104,0.1633996032110963,3.181386659059441,8,0.5183962264150943,27,1.650961401365634
20,10,Fixed,9.080999441096989,0.9789588015799322,0.8605263157894736,0.04254223638290852,2.9174553163920147,7,0.5176113360323888,26,3.01830687852204
20,10,Uniform,6.706147749905052,0.5576005515564111,1.0,0.4338577507191479,3.3559518790205294,13,0.3852112676056336,32,2.2289630137317102
20,10,HubSpoke,6.291249332583032,0.5958176587650735,0.9947368421052631,0.3572119402523978,3.252110866755921,10,0.4978021978021978,29,2.091060709584042
20,11,Fixed,8.62946112161911,0.8727367263067833,0.8894736842105262,0.05490812693671661,2.7819742675684727,6,0.535805422647528,25,3.2615238732425036
20,11,Uniform,5.689245074134715,0.5455483746483861,0.9973684210526315,0.24715903671552725,3.3265101646197888,13,0.4084415584415584,32,2.1502627300250445
20,11,HubSpoke,4.917763402100311,0.5609000448368541,0.9947368421052631,0.20840248940502212,3.18027468835629,9,0.5625641025641022,28,1.8586795296783296
20,12,Fixed,9.389048903212181,0.9720286007650659,0.9078947368421051,0.07728315752870757,3.062917847802735,10,0.5478571428571426,29,3.187886005298461
20,12,Uniform,6.0139590062283625,0.6101262893569155,0.994736842105263,0.22113871279764558,3.215555117614802,10,0.45595238095238133,29,2.0419337411092804
20,12,HubSpoke,5.749585163351684,0.6265940532510827,0.994736842105263,0.17747856293401265,3.1493914022400897,8,0.5002403846153842,27,1.9521702642585848
20,13,Fixed,5.569748787166614,1.0726201005703875,0.8289473684210525,0.03515301916794361,2.663961960606121,2,0.47806183115338907,21,1.87699932719041
20,13,Uniform,5.225037920257251,0.6341324605518662,0.9973684210526315,0.24288145725739313,3.057002201036716,7,0.4050228310502282,26,1.760832137252703
20,13,HubSpoke,4.6258094478882805,0.6495894769434716,0.9605263157894737,0.10155743736510703,2.90122869869366,4,0.5136538461538462,23,1.558892789097278
20,14,Fixed,6.830257209277395,1.1176833557510775,0.881578947368421,0.055046589798591866,2.792153088469602,4,0.49947994056463596,23,2.1747022722234606
20,14,Uniform,6.6505911393297445,0.595928578951413,1.0,0.40479312477649754,3.311162933883366,12,0.3791878172588832,31,2.117497953471612
20,14,HubSpoke,5.1532958388741905,0.6184699049045781,0.9789473684210526,0.21062669663483635,3.1487228975941775,7,0.5324561403508774,26,1.6407704463921697
20,15,Fixed,6.296342907147633,0.9860032967032254,0.9026315789473685,0.06471474581594776,2.7452441270661643,3,0.5104612850082371,22,2.2257947440832377
20,15,Uniform,6.948637274021568,0.592473741473955,1.0,0.350993304620206,3.354241487793235,14,0.38654822335025396,33,2.4563846904686124
20,15,HubSpoke,5.494227774656161,0.5971398734449197,0.9947368421052631,0.25278728739329215,3.1421411152067598,8,0.4358585858585857,27,1.9422422641154744
20,16,Fixed,6.966275044575089,1.1815929321939798,0.8894736842105264,0.062470684147746654,2.6712578240143494,3,0.641176470588235,22,2.034544638866569
20,16,Uniform,8.982529163098452,0.6768985388117715,1.0,0.40922596122745725,3.405948000827354,16,0.43685714285714283,35,2.6234043926353867
20,16,HubSpoke,6.859176355620558,0.7386486649281011,0.9868421052631579,0.2398003849991287,3.143012580447623,9,0.5769444444444445,28,2.0032657901206004
