n,k,ep_return,rl_cost,rl_steiner_ratio,rl_algebraic_connectivity,rl_robustness,rl_efficiency,rl_n,rl_k,std_cost,std_efficiency,std_robustness,std_algebraic_connectivity,std_network_entropy,std_cyclomatic_number,std_betweenness_gini,std_num_edges,std_steiner_ratio
50,3,0.9321414810260419,144.64805229079982,30.94486176902095,4.00000000000013,1.0,0.7085223032892008,50,3,5.6461340195790966,0.9042025680517112,0.8865306122448979,0.010654733116258619,3.7977670498686824,4,0.5796047277659366,53,1.2078893147761698
50,5,0.8337452115368316,403.7817792864626,85.90426818001777,12.00000000000009,1.0,0.5303102864052829,50,5,13.242078376928559,0.7391229089724899,0.9791836734693876,0.0670237203870755,4.063460588368398,23,0.6497376967274544,72,2.8172421602646183
50,1,1.0219275302518085,121.87275118672682,25.72430717024256,3.000000000000032,1.0,0.8858860315106507,50,1,10.087711298299773,1.090762321854477,0.9044897959183673,0.013346254442001191,3.45240593893349,4,0.6166064981949462,53,2.129265004320768
50,3,0.7909231077738939,278.09851420806575,55.20605010749893,6.00000000000026,1.0,0.5948335590359699,50,3,8.938597397843779,0.9546844198039951,0.94,0.0179612622461235,3.850398613197125,9,0.6137873357228196,58,1.7744239203914853
20,5,0.9714441945183929,106.41080328889166,32.34572338378,15.771671784053396,1.0,0.5788591909027978,20,5,14.600641822937014,0.7338407640024815,0.9789473684210526,0.3189817172111038,3.4412989859990657,19,0.6310457516339871,38,4.438161418143063
20,2,1.0343483147457977,37.480273020829955,11.442628128333503,2.0000000000000075,1.0,0.6361547502955301,20,2,6.486807696466166,0.788715278548562,0.9078947368421053,0.07170682434714228,3.093298127264019,7,0.5469911504424776,26,1.9804052166168125
20,1,0.4778170420256288,69.85222352994627,24.829483295298072,5.856205157418739,1.0,0.5236814354628783,20,1,6.318587285729414,0.9901555520518819,0.9,0.07273643758694925,2.8227286234612174,4,0.4905891980360062,23,2.245988023468463
20,5,1.0497681959325889,65.34208807785174,23.020782229293552,10.000000000000034,1.0,0.4324574422416488,20,5,3.717973396815327,0.6136635585125548,0.8921052631578947,0.06485251018150305,2.9213710064730876,2,0.6388888888888891,21,1.3098855335081363
50,5,0.5071568443026903,438.7248502669588,92.57348679448927,13.00000000000022,1.0,0.5296902969372752,50,5,15.952141681983235,0.7985341824001854,0.9722448979591838,0.05658098188121046,3.9578842608130036,22,0.6509813835899791,71,3.3659943731072333
20,3,1.0306536882485462,58.16996696588827,20.20999590886927,6.000000000000044,1.0,0.4663460596048407,20,3,5.041002845331945,0.721783965392775,0.8657894736842104,0.04701670652626953,3.004296164820295,6,0.5623145400593472,25,1.7513959899702212
20,5,0.807334870815039,92.2974402660885,31.18868777483179,19.999999999999996,1.0,0.4857760014004658,20,5,10.877783408078608,0.5751344376109547,0.9894736842105262,0.2663488676488107,3.5428250702327966,21,0.6352564102564102,40,3.6757659737770663
20,3,0.9135119498489574,100.0116974053199,31.04700226293842,14.221542881741621,1.0,0.5635919852940867,20,3,6.7277835231570196,0.8940590642770057,0.9105263157894736,0.06651857318113837,2.984144352591121,6,0.4732026143790853,25,2.0885307987673953
50,3,1.0310397680546486,149.68800596398464,29.759798757423845,1.975884015419928,1.0,0.6360488028325724,50,3,6.795814455680688,1.0156808551949374,0.9036734693877552,0.012256497192090775,3.681590475875368,3,0.6220021001050051,52,1.3510906855323408
20,2,0.18458470441330121,89.75051843881154,29.96899300013451,11.000000000000057,1.0,0.5844367967627174,20,2,5.930889362246054,0.9540315167623404,0.9157894736842105,0.09329486211020553,2.744551625895446,4,0.5870741482965927,23,1.9804095271371878
50,3,0.7756184313207352,312.0555322867817,61.554018172026666,8.920691727912295,1.0,0.5614219792444906,50,3,15.438410308163272,1.0320741136768246,0.9706122448979592,0.04584635959993264,3.927355397396345,19,0.6779430876092312,68,3.045279094050976
20,3,1.2137915702914994,77.06280410894911,21.962257754858864,8.00551105990981,1.0,0.5971940120125798,20,3,8.456202153954774,1.0225566499015057,0.9421052631578947,0.09038328620592642,2.9650434251503692,6,0.42941176470588216,25,2.409947230440588
50,3,0.6513260637377803,224.18098105968534,45.69637134608314,6.000000000000181,1.0,0.5997888081614375,50,3,10.2446711793748,1.0292400700310822,0.9175510204081634,0.01204475112035098,3.9172339009146584,16,0.5693234989051514,65,2.0882427060419944
50,2,0.6147240442834623,187.39528374900908,42.03301918464021,4.998585560868496,1.0,0.5888146711895355,50,2,8.82447256974839,0.9334407124301152,0.9183673469387754,0.01631968377734136,3.715241259534107,8,0.5869522158950238,57,1.9793413014351104
50,3,0.8909342195852282,381.8902908108512,78.51096979218771,8.997747155421184,1.0,0.6101735792523616,50,3,14.288111208068528,0.9637344025770413,0.9640816326530611,0.0351259930266346,3.8373627834436914,17,0.595971914264597,66,2.9374233763897837
50,5,1.0535785603169185,364.2793068861971,74.1515883019888,10.000000000000213,1.0,0.5315742050721289,50,5,20.562719652718492,0.8157545402583966,0.9844897959183673,0.08477874780686913,4.166500041106848,30,0.7398169615619277,79,4.185684701914563
20,1,0.7336382444904297,61.508922241647404,16.94271970195416,4.655123332344239,1.0,0.672998772365806,20,1,9.841991373551842,1.1124371725154591,0.8921052631578947,0.06104566948744084,2.9690951927055727,6,0.6386925795053005,25,2.710990455921759
20,5,1.2287666556598067,109.49683895250766,33.76165698297999,15.829913513374027,1.0,0.5939197793112314,20,5,18.94065838067598,0.6684195255531425,0.9921052631578947,0.3263406066874279,3.7329535908176967,30,0.6643497757847532,49,5.84005910488015
50,2,0.6484444600554695,209.3752634995671,43.807431110793516,4.000000000000057,1.0,0.7161577634708998,50,2,10.805750516909416,1.1573117270104767,0.8967346938775509,0.008618823534093954,3.6836463217987037,9,0.6215808014090711,58,2.260879167184472
20,5,1.1696277172274157,89.63878963952764,31.19463775673821,13.000000000000018,1.0,0.49704364820884495,20,5,6.689103160825186,0.5855751904572715,0.9763157894736842,0.1930409321669166,3.211271177844903,11,0.6285145888594168,30,2.3278331942958377
50,3,1.2191357374072458,195.89346010292337,40.60602791248703,6.0000000000001155,1.0,0.6100873097029855,50,3,9.486474371227269,0.8254968044661795,0.9514285714285715,0.03135820674588944,3.9746795782075792,16,0.5809170377700807,65,1.9664160452664277
