n,trial,method,cost,avg_shortest_path,robustness
20,8,RGG,9.821799347933585,0.5846999234365652,0.9789473684210528
20,8,Physarum,8.095988981461234,0.8215436190945858,0.9368421052631579
20,9,MST,3.300858393971349,0.8201468711347999,0.8684210526315788
20,9,kNN,8.873368614442379,0.6136349980535709,0.9921052631578947
20,9,RGG,8.365842700172898,0.6561204103384143,0.976315789473684
20,9,Physarum,9.043931183955296,1.3106359817165831,0.9236842105263158
20,10,MST,3.0086402100848137,0.768893994311674,0.8447368421052632
20,10,kNN,7.995505717184911,0.6300746442931491,0.9763157894736842
20,10,RGG,10.253571056157483,0.6248550688809238,0.9657894736842104
20,10,Physarum,10.67087488964581,1.122179618770008,0.8894736842105264
20,11,MST,2.645837178263538,0.8107386298110061,0.8315789473684211
20,11,kNN,6.192641101914139,0.7210139275352134,0.968421052631579
20,11,RGG,9.046860796707959,0.6207671808771144,0.9736842105263157
20,11,Physarum,7.614149410626421,0.8926970853654865,0.8894736842105264
20,12,MST,2.945227303487957,0.7482428182915936,0.8763157894736843
20,12,kNN,7.369115952206411,0.6510486919038918,0.9763157894736842
20,12,RGG,6.6224439269405355,0.6970147248748289,0.9236842105263159
20,12,Physarum,9.051062272938209,0.9548042258852344,0.913157894736842
20,13,MST,2.967368558146317,0.7809555968838139,0.868421052631579
20,13,kNN,8.136257909921708,0.6672613730911445,0.9921052631578947
20,13,RGG,7.577710428741901,0.7373748374944247,0.9421052631578947
20,13,Physarum,7.6335471764594605,1.1464190190571446,0.9000000000000001
20,14,MST,3.140778071792788,0.9497535488565723,0.8263157894736842
20,14,kNN,7.290903137038722,0.7371417544759162,0.9289473684210525
20,14,RGG,6.7346861910713836,0.6026535330135707,0.9921052631578947
20,14,Physarum,7.914366141442195,1.138821921066106,0.8973684210526315
20,15,MST,2.82880662014546,0.746621208467581,0.8526315789473685
20,15,kNN,7.665121661970646,0.6989315048778358,0.9263157894736841
20,15,RGG,8.123482203052701,0.6671394047351495,0.9815789473684211
20,15,Physarum,8.595009107880747,0.9883146151001408,0.9157894736842106
20,16,MST,3.4239971497779247,1.145994724838439,0.8263157894736842
20,16,kNN,8.500987939644876,0.8356194759262857,0.9421052631578947
20,16,RGG,5.361569592550074,1.1357451265769387,0.8631578947368423
20,16,Physarum,13.031044536648093,1.1904485141140049,0.9078947368421053
20,17,MST,3.0160370981889515,0.8357785840089119,0.8578947368421052
20,17,kNN,8.23088631953119,0.6822709749411252,0.9815789473684211
20,17,RGG,8.62440293842776,0.5771820444612877,0.9842105263157894
20,17,Physarum,8.239663677361659,1.0314736427816216,0.9026315789473683
20,18,MST,2.9713518342303185,0.672262703512477,0.8868421052631581
20,18,kNN,7.5492180463647145,0.5738739938967679,0.9815789473684211
20,18,RGG,8.981758577036612,0.5419322935454333,0.9868421052631579
20,18,Physarum,10.020333191197363,1.1104925374935202,0.9421052631578949
20,19,MST,2.962792163199304,0.7061528148208331,0.8710526315789473
20,19,kNN,7.548654661390807,0.6016332407239668,0.9921052631578947
20,19,RGG,8.483889462066358,0.5116052669974706,0.9947368421052631
20,19,Physarum,11.261609632788643,1.2417363974471534,0.9394736842105263
30,0,MST,3.489057441356507,0.8183278712268424,0.8666666666666667
30,0,kNN,8.870804790532983,0.7286221494282796,0.9471264367816092
30,0,RGG,19.798778153044424,0.5110552973304424,1.0
30,0,Physarum,10.410976668729727,1.2586700787880434,0.9034482758620688
30,1,MST,3.8038465945303597,0.9853376548068301,0.8275862068965517
30,1,kNN,8.88943221952874,0.6647203043543982,1.0
30,1,RGG,16.49698857708948,0.5898489560643992,1.0
30,1,Physarum,10.436871527289716,1.4004944876791392,0.9080459770114943
