trial,k_commodities,method,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
7,3,Physarum-k3,50,6.786537082459523,1.0049234387717347,0.8906122448979592,0.009975364404145124,3.6968539271369654,3,0.5691440000000001,52,1.3202550665542292
7,3,Union-k3,50,6.4820981912589515,0.9610003471559254,0.9073469387755101,0.011039524712354979,3.752373073497881,4,0.5587976569725617,53,1.2610294285476893
7,5,Physarum-k5,50,24.246647912858773,0.8069368394312901,0.9885714285714287,0.11695884592128777,4.336828433578291,43,0.7569382022471907,92,4.7169505397157385
7,5,Union-k5,50,26.395077614387834,0.6958457123763274,0.9979591836734695,0.12244035315494146,4.239866251090674,48,0.5189999999999999,97,5.134906732117676
7,10,Physarum-k10,50,18.508440446074697,0.6879585073671357,0.990204081632653,0.14285382327396676,4.340341912571197,43,0.6215417789757411,92,3.6006378475561918
7,10,Union-k10,50,28.932093199668667,0.6458461292187612,0.9955102040816327,0.10842023077607643,4.481208688118955,64,0.4982971711068389,113,5.628458545022551
8,0,MST,50,4.641457276210677,1.186155794762882,0.8142857142857143,0.0052274751629270404,3.7718000978994604,0,0.4442899014122037,49,1.0
8,0,kNN,50,12.286334605245138,0.8218435463111419,0.970204081632653,0.024817873136079797,4.528911202043523,53,0.690270963604297,102,2.6470855755190317
8,1,Physarum-k1,50,8.479994392752058,1.5069991791482416,0.8783673469387755,0.008404938367673583,3.4565586565087707,2,0.522956709179091,51,1.8270111924148082
8,1,Union-k1,50,8.064832650345556,1.72058014073157,0.8710204081632653,0.007952089418391768,3.4449443425738,1,0.5311654526534861,50,1.7375647712370519
8,2,Physarum-k2,50,6.888476257564084,1.1817784349676372,0.8710204081632653,0.008094548943638608,3.685305889179652,4,0.5478634022946973,53,1.4841192857403376
8,2,Union-k2,50,10.009001282982084,1.0690498218562694,0.8975510204081634,0.008159608371935011,3.733162855684739,12,0.5262579397956366,61,2.15643507789724
8,3,Physarum-k3,50,11.574717296437953,0.9407364785795163,0.9261224489795918,0.017264814551562094,3.806018433976912,14,0.5516633266533069,63,2.4937679283967564
8,3,Union-k3,50,11.376768005893346,0.8031377769300599,0.9942857142857143,0.033339324915113606,3.822864992634567,17,0.4051799775028122,66,2.451119837772466
8,5,Physarum-k5,50,16.702075927464968,0.820450155205443,0.98,0.05970697860343727,4.086398563955364,27,0.7002595529920692,76,3.5984551690413653
8,5,Union-k5,50,18.938824732886527,0.757195235786572,0.9926530612244897,0.0921518842464366,4.026528119508971,33,0.39779044425817256,82,4.080361749736569
8,10,Physarum-k10,50,17.324999071313734,0.6572912483174534,0.9938775510204081,0.167442111915958,4.341926928419931,44,0.677966872361156,93,3.7326636959713655
8,10,Union-k10,50,21.051537642285556,0.7805145207717228,0.9967346938775511,0.06769170462945026,4.2188006470909,45,0.46799292661361624,94,4.53554484928324
9,0,MST,50,4.879258943729588,0.9720171969512925,0.873061224489796,0.009879606966348762,3.7452811271103275,0,0.4990032991838862,49,1.0
9,0,kNN,50,12.419693628135162,0.7581020269965054,0.9840816326530613,0.03619231681897538,4.44117505867689,48,0.6025420014609204,97,2.5454057206977927
9,1,Physarum-k1,50,12.595949411741183,1.6311941893446698,0.9289795918367346,0.01845686208951645,3.4601916554474244,4,0.6073434004474272,53,2.581529194700444
9,1,Union-k1,50,12.48865822777312,1.254125135213497,0.9220408163265307,0.016471519941807945,3.4526043943712184,5,0.5930857648099026,54,2.559539957153225
