trial,mu,n,iteration,n_surviving_edges,conductivity_entropy
6,0.5,50,100,200,5.156396514886861
6,0.5,50,150,201,5.161042777178797
6,0.5,50,200,201,5.161039297941747
6,0.5,50,300,201,5.161039024387337
6,0.5,50,500,201,5.161039022762967
6,1.0,50,10,1225,7.09178393076213
6,1.0,50,25,784,6.649109130630569
6,1.0,50,50,9,2.032661642232569
6,1.0,50,100,10,2.1964863778889
6,1.0,50,150,11,2.313780965889918
6,1.0,50,200,12,2.3953152374933984
6,1.0,50,300,12,2.394812584885804
6,1.0,50,500,13,2.489599464774912
6,2.0,50,10,1225,7.092083624026955
6,2.0,50,25,740,6.601016335779939
6,2.0,50,50,1,-1.110223024625156e-15
6,2.0,50,100,4,1.1524467611026457
6,2.0,50,150,7,1.9445547684857185
6,2.0,50,200,7,1.9459100439775183
6,2.0,50,300,7,1.945910149055306
6,2.0,50,500,7,1.9459101490553061
7,0.5,50,10,1225,7.091520145918693
7,0.5,50,25,1190,7.022121058545574
7,0.5,50,50,259,5.426466798392443
7,0.5,50,100,225,5.2810472727371085
7,0.5,50,150,225,5.281084419095478
7,0.5,50,200,225,5.2810907820017
7,0.5,50,300,225,5.281091325416906
7,0.5,50,500,225,5.281091328658822
7,1.0,50,10,1225,7.092662826288031
7,1.0,50,25,808,6.68032784632412
7,1.0,50,50,6,1.7193510631764972
7,1.0,50,100,7,1.8530456599512024
7,1.0,50,150,10,2.1702426601049893
7,1.0,50,200,10,2.189655034934093
7,1.0,50,300,10,2.1948693663291756
7,1.0,50,500,10,2.2114622062214195
7,2.0,50,10,1225,7.092832892488546
7,2.0,50,25,763,6.631845077547713
7,2.0,50,50,2,0.6732482791090051
7,2.0,50,100,4,1.214506096266124
7,2.0,50,150,8,2.0794216435343436
7,2.0,50,200,8,2.079441541005008
7,2.0,50,300,8,2.079441541679828
7,2.0,50,500,8,2.0794415416798278
8,0.5,50,10,1225,7.090100968839053
8,0.5,50,25,1184,7.015219273609666
