trial,lambda,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
1,1.0,20,6.166481785535001,0.6103686868063171,1.0,0.20975831458491173,3.243493089411949,10,0.42692307692307674,29,2.001121729575787
2,0.0,20,6.187422079448348,1.0234058180181975,0.8921052631578947,0.059679848829995524,2.788755224309482,3,0.5043283582089548,22,2.023797517054268
2,0.1,20,8.160686261964026,0.9187244405457878,0.9394736842105262,0.10493741004876726,2.9846641667274447,6,0.5268762677484784,25,2.6692177101152517
2,0.25,20,6.896547634882428,0.7294410566647119,0.994736842105263,0.24089214854156837,3.153721316870989,8,0.4713541666666665,27,2.255740080522505
2,0.5,20,6.6950343197529545,0.6393881059135856,0.9973684210526315,0.3142282938645183,3.2258028695347303,10,0.3633004926108372,29,2.189828600494822
2,0.75,20,5.804209749656875,0.5885665989743408,0.9973684210526315,0.33512765161249386,3.1652840676513323,8,0.38248259860788836,27,1.8984554680428467
2,0.9,20,6.076788276582919,0.5750004500961285,0.9973684210526315,0.35468433962066986,3.2063830869648826,9,0.3755474452554741,28,1.9876111356071355
2,1.0,20,5.762034299123465,0.575970840142146,0.9973684210526315,0.2936699664333258,3.1666885504533697,8,0.41533957845433234,27,1.8846606160068644
3,0.0,20,6.930344555776183,1.0446377913910272,0.9,0.06832375427560466,2.7198492714963742,3,0.5663299663299659,22,2.0672964165865992
3,0.1,20,8.319208802509028,1.0233798704401749,0.9421052631578946,0.1491526751825249,2.8565759543430955,5,0.6558275058275056,24,2.4815895382760575
3,0.25,20,8.427416853581285,0.7930178944243819,0.9842105263157894,0.24349042265756876,3.159958621784635,9,0.4645454545454546,28,2.5138676038797443
3,0.5,20,7.538839738059022,0.7190529118699516,1.0,0.4055488939238651,3.196674669301586,10,0.3958549222797927,29,2.2488083024271206
3,0.75,20,8.274636571760693,0.6974103844782567,1.0,0.45119803521347523,3.271552592965672,12,0.42139037433155035,31,2.4682938049739516
3,0.9,20,7.960364220463503,0.6375575401136216,1.0,0.4685450037548239,3.3125380174246413,13,0.4310055865921789,32,2.3745475127888924
3,1.0,20,8.880352631789618,0.610948947795908,1.0,0.5438423446338587,3.4084607544097407,16,0.42781065088757386,35,2.648976688817453
4,0.0,20,9.46195329377235,1.1541461088011624,0.8631578947368421,0.04344008702165551,2.8641759583893815,6,0.5666906474820139,25,3.089496801561132
4,0.1,20,7.832418107671696,0.9920185306405832,0.9131578947368422,0.05638375895084925,3.037142305197892,8,0.5967226890756303,27,2.5574244493542304
4,0.25,20,6.882803731729756,0.8770132250718379,0.994736842105263,0.1837536326859524,3.049285877542809,6,0.34520833333333356,25,2.2473583894086504
4,0.5,20,4.846915102741987,0.8180173948371101,0.9921052631578947,0.1567229429089999,2.9672983927658145,4,0.28508442776735476,23,1.5826043780215677
4,0.75,20,6.0775667549449,0.6752590696855167,1.0,0.2947616166162632,3.176179379099012,9,0.38009478672985764,28,1.9844341297937815
4,0.9,20,5.908779176869075,0.6667194490228238,1.0,0.3125655841258145,3.183296605953931,9,0.39803921568627465,28,1.9293219699238178
4,1.0,20,6.318825553311631,0.6591629680013218,1.0,0.27153832456958693,3.21535892279267,10,0.38341176470588256,29,2.063209437889318
5,0.0,20,6.1806595552055805,1.0860570659844406,0.8842105263157896,0.05509176287145263,2.7588089530960174,3,0.4763703703703701,22,2.2383433173302305
5,0.1,20,7.537671273214694,0.8886873384675806,0.9473684210526315,0.09413311973373742,3.0485021422665484,7,0.5219077568134172,26,2.729788944356598
5,0.25,20,6.711475670325952,0.8210758406184606,0.9657894736842106,0.10503452542948549,3.126537667009678,8,0.41289308176100636,27,2.430579872894948
5,0.5,20,6.6631090376462705,0.6744684197991694,0.9921052631578948,0.19349638819352868,3.2125548378677715,10,0.4351598173515978,29,2.4130637602417035
5,0.75,20,6.4634110657831965,0.5826528258166229,0.9973684210526315,0.23843433645622786,3.2990917046353028,12,0.350498753117207,31,2.3407425756154385
5,0.9,20,6.243070637343517,0.5783192515502505,1.0,0.25817119703877844,3.2941165748345873,12,0.40743073047858935,31,2.2609456670281913
5,1.0,20,5.340309183110945,0.5873180266216397,0.9973684210526315,0.25106564014676624,3.251563756490533,10,0.42016706443914065,29,1.9340080562156203
6,0.0,20,9.79621740433948,1.007125252363458,0.9421052631578946,0.17373088654591096,2.8886620056965073,7,0.6368766404199475,26,3.299375464666618
6,0.1,20,5.952697695423835,0.7703155462269922,0.976315789473684,0.2593026785034106,2.9869321630415433,5,0.5913875598086127,24,2.004874321813112
6,0.25,20,6.286110949634154,0.705889469168437,0.9868421052631579,0.24072115781534148,3.201447939813449,9,0.5041984732824429,28,2.117168227218773
6,0.5,20,8.934907410203172,0.5855839674374158,1.0,0.49104722892416586,3.438811818870573,17,0.518125,36,3.0092854283974515
6,0.75,20,8.040677712711,0.5556064035666917,1.0,0.4556259535262247,3.397486162142085,16,0.4677897574123988,35,2.708108004305682
6,0.9,20,7.031400851381597,0.5606595978840907,1.0,0.3490437373387168,3.3024968379998434,13,0.4456852791878174,32,2.368182584535918
6,1.0,20,6.081385055228862,0.5673245130082988,1.0,0.3227974377507682,3.2548906151961234,11,0.44331683168316816,30,2.048216348641279
7,0.0,20,10.002723622253637,1.321541740765711,0.8868421052631581,0.051371749506838385,2.940589237061484,5,0.5387195121951218,24,3.0094129304292756
7,0.1,20,8.73022231123675,0.9468900284467968,0.9605263157894737,0.16890478258873284,3.148316542998084,9,0.4995327102803737,28,2.626569012714429
