trial,mu,demand,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
13,1.5,fixed,50,5.8805285138953645,1.186821500746812,0.8861224489795919,0.009457800635917297,3.6556524611694963,0,0.6313365812327896,49,1.1424351400855581
13,1.5,uniform,50,5.90587437476815,0.7746843542385298,0.9795918367346939,0.03221261902209077,3.8307319773175785,3,0.47201284796573884,52,1.1473591876517535
13,2.0,fixed,50,5.346314161226425,1.0253284422093831,0.9093877551020408,0.013456841385589287,3.773319991794672,0,0.6226119933633565,49,1.0386510588784117
13,2.0,uniform,50,5.201571228361035,1.2020901175609702,0.8546938775510204,0.00698937285924993,3.789936367361395,0,0.5535311973018551,49,1.010531237268206
14,0.5,fixed,50,89.70962818588079,0.9282552188427151,1.0,2.0000000000000564,4.9955115402376045,114,0.9313938260056125,163,18.771912456362372
14,0.5,uniform,50,7.12849568421613,1.0009583092132663,0.8971428571428572,0.010397693572841156,4.109394831331097,18,0.6432029258561454,67,1.491651449634735
14,0.75,fixed,50,9.62306500451607,1.4162036929579502,0.9228571428571428,0.013813784701034794,3.5152748850867335,0,0.7022641509433962,49,2.0136448838285466
14,0.75,uniform,50,4.778928539882226,0.9861622141314977,0.8518367346938776,0.007070686216867211,3.7862575058527947,0,0.5465011439708494,49,1.0
14,1.0,fixed,50,11.352542311449088,1.3429607531036536,0.900408163265306,0.010910510726960084,3.441132729116414,5,0.6048022722307191,54,2.3755413408481028
14,1.0,uniform,50,8.77673719781914,0.6158461181574955,0.9963265306122449,0.10067383569131627,4.089817970264686,19,0.4112180337185072,68,1.836549160460022
